Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199708","Water - Precipitation - rain","1997-08-15","1997-08-01","1997-08-31","","-7.71","Antarctic Climate and Ecosystems Cooperative Research Centre","","","","","","115.5","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199709","Water - Precipitation - rain","1997-09-15","1997-09-01","1997-09-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199710","Water - Precipitation - rain","1997-10-15","1997-10-01","1997-10-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199711","Water - Precipitation - rain","1997-11-15","1997-11-01","1997-11-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199712","Water - Precipitation - rain","1997-12-15","1997-12-01","1997-12-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199801","Water - Precipitation - rain","1998-01-15","1998-01-01","1998-01-31","","-1.49","Antarctic Climate and Ecosystems Cooperative Research Centre","","","","","","15.5","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199802","Water - Precipitation - rain","1998-02-15","1998-02-01","1998-02-28","","-7.76","Antarctic Climate and Ecosystems Cooperative Research Centre","","","","","","106.6","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199803","Water - Precipitation - rain","1998-03-15","1998-03-01","1998-03-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199804","Water - Precipitation - rain","1998-04-15","1998-04-01","1998-04-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199805","Water - Precipitation - rain","1998-05-15","1998-05-01","1998-05-31","","","","","","","","","","",""
