Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196702","Water - Precipitation - rain","1967-02-15","1967-02-01","1967-02-28","","","","","","","","","143","12.9","11.8"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196703","Water - Precipitation - rain","1967-03-15","1967-03-01","1967-03-31","","","","","","","","","125","12.1","12.2"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196704","Water - Precipitation - rain","1967-04-15","1967-04-01","1967-04-30","","","","","","","","","102","10.1","10.5"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196705","Water - Precipitation - rain","1967-05-15","1967-05-01","1967-05-31","","","","","","","","","346","9.2","10.4"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196706","Water - Precipitation - rain","1967-06-15","1967-06-01","1967-06-30","","","","","","51.1","2","International Atomic Energy Agency","150","4.8","7.5"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196707","Water - Precipitation - rain","1967-07-15","1967-07-01","1967-07-31","","","","","","27.5","1.3","International Atomic Energy Agency","266","6","8.2"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196708","Water - Precipitation - rain","1967-08-15","1967-08-01","1967-08-31","","","","","","","","","346","5.7","7.7"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196709","Water - Precipitation - rain","1967-09-15","1967-09-01","1967-09-30","","","","","","","","","164","6","8"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196710","Water - Precipitation - rain","1967-10-15","1967-10-01","1967-10-31","","","","","","","","","185","10.2","10.1"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196711","Water - Precipitation - rain","1967-11-15","1967-11-01","1967-11-30","","","","","","45","2","International Atomic Energy Agency","140","11.6","11.3"
